actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_loss,step
0.3678096952755004,-1.6561307460637764,-0.049999999999999295,0.039989407116780055,0.09681479702859196,1.0000786300897597,0.059257390634622424,1000
0.5202432747483253,-2.516415444612503,-0.049999999999999295,0.04999887612462044,0.08751190492036473,1.0000511171221733,0.03882402726635337,2000
0.3292052751705051,-3.541976982831955,-0.049999999999999295,0.03064392426703125,0.08067193600724544,1.0000452038049699,0.046292103624902665,3000
0.2433763113822788,-4.658318581104279,-0.049999999999999295,0.022132123422343285,0.07542462512199635,1.0000468651652337,0.0565427701510489,4000
0.32338890932500364,-5.756744516372681,-0.049999999999999295,0.026001492839306594,0.06954044441350266,0.9973138273358345,0.17946500593982637,5000
0.25412493153475224,-6.876702568531036,-0.049999999999999295,0.01947122858837247,0.06392238931922829,0.9973115580677986,0.24926609234698116,6000
0.20723270725458862,-7.987655838489532,-0.049999999999999295,0.01526083996403031,0.05925385156515811,0.9973036865592003,0.32513859710097315,7000
0.1317901976807043,-9.087000582695007,-0.049999999999999295,0.010076159581658431,0.0552990553671878,0.9972666397690773,0.4019370818249881,8000
0.08242837976850569,-10.196616508483887,-0.049999999999999295,0.006915315520134755,0.05221622971956999,0.9985796732902527,0.4752622114047408,9000
0.06290436551906169,-11.259617842674256,-0.049999999999999295,0.005563173894915963,0.049207916460700045,0.9985621155500412,0.4982599078938365,10000
