epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
42.0,0.0,3.669639454528806e-07,-64.27110719680786,2.1816113076056354e-05,43,4000.0,1000.0
43.0,0.0,3.518212849940028e-07,-66.76133823394775,1.1403573807911016e-05,44,4000.0,1000.0
44.0,0.0,3.4135558735215454e-07,-67.32735633850098,3.073076004511677e-05,45,4000.0,1000.0
45.0,0.0,3.2664414106875483e-07,-66.97802305221558,4.197519228910096e-05,46,4000.0,1000.0
46.0,0.0,3.1513263820670545e-07,-66.66799354553223,1.2833277651225217e-05,47,4000.0,1000.0
47.0,0.0,2.9081576258249697e-07,-67.15229225158691,5.770934876636602e-06,48,4000.0,1000.0
48.0,0.0,2.6805312813849014e-07,-68.5516357421875,9.249213690054603e-06,49,4000.0,1000.0
49.0,0.0,2.423404339424451e-07,-67.26616477966309,7.863533028285019e-06,50,4000.0,1000.0
50.0,0.0,2.0225549235419749e-07,-66.43992233276367,2.3833204977563582e-05,51,4000.0,1000.0
51.0,0.0,2.0225549235419749e-07,-67.55592775344849,1.6624719137325883e-05,52,4000.0,1000.0
52.0,0.0,2.0225549235419749e-07,-65.33029413223267,9.077312824956607e-06,53,4000.0,1000.0
53.0,0.0,2.0225549235419749e-07,-68.50462818145752,1.7952673943000264e-06,54,4000.0,1000.0
54.0,0.0,1.8690668923682097e-07,-68.33051872253418,2.008427145483438e-05,55,4000.0,1000.0
55.0,0.0,1.8690668923682097e-07,-66.71294641494751,2.2957061446504667e-05,56,4000.0,1000.0
56.0,0.0,1.734363337391187e-07,-67.2231035232544,1.4125241250440013e-05,57,4000.0,1000.0
57.0,0.0,1.722327738207241e-07,-68.33121061325073,1.4436612900681212e-06,58,4000.0,1000.0
58.0,0.0,1.6882047759736452e-07,-69.01786041259766,1.1594006537052337e-06,59,4000.0,1000.0
59.0,0.0,1.6419463122474554e-07,-67.08226585388184,6.9628754317818675e-06,60,4000.0,1000.0
60.0,0.0,1.6419463122474554e-07,-66.75574350357056,1.0405849934613798e-05,61,4000.0,1000.0
61.0,0.0,1.6419463122474554e-07,-67.4915599822998,1.2057487765559927e-05,62,4000.0,1000.0
62.0,0.0,1.6419463122474554e-07,-67.05459880828857,7.615549748152262e-06,63,4000.0,1000.0
63.0,0.0,1.6419463122474554e-07,-68.42134857177734,8.923459972720593e-06,64,4000.0,1000.0
64.0,0.0,1.596494882960542e-07,-67.68130826950073,3.546047310010181e-06,65,4000.0,1000.0
65.0,0.0,1.596494882960542e-07,-68.2283992767334,3.6118335628998466e-06,66,4000.0,1000.0
66.0,0.0,1.596494882960542e-07,-66.42489647865295,2.213608422607649e-05,67,4000.0,1000.0
67.0,0.0,1.596494882960542e-07,-67.49707698822021,2.3729227905278094e-05,68,4000.0,1000.0
68.0,0.0,1.596494882960542e-07,-66.76294755935669,1.386159874527948e-05,69,4000.0,1000.0
69.0,0.0,1.596494882960542e-07,-68.41722536087036,7.688417099416256e-06,70,4000.0,1000.0
0.0,1.0,3.932689651264809e-06,-61.264405488967896,1.3054302144155372e-05,71,4000.0,1000.0
