epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
0.0,0.0,0.14886468648910522,-1.9114722833037376,0.1488674432039261,1,4000.0,1000.0
1.0,0.0,0.018397582694888115,-8.188563793897629,0.018397582694888115,2,4000.0,1000.0
2.0,0.0,0.0037755637895315886,-18.68994927406311,0.0037755637895315886,3,4000.0,1000.0
3.0,0.0,0.001210468471981585,-28.080564498901367,0.001210468471981585,4,4000.0,1000.0
4.0,0.0,0.0006114546558819711,-37.85023307800293,0.0006266676937229931,5,4000.0,1000.0
5.0,0.0,0.0002703318023122847,-42.50356650352478,0.0002703318023122847,6,4000.0,1000.0
6.0,0.0,0.00018695580365601927,-45.16128325462341,0.0004352531977929175,7,4000.0,1000.0
7.0,0.0,0.00014645660121459514,-46.006054639816284,0.00021519594884011894,8,4000.0,1000.0
8.0,0.0,9.891843365039676e-05,-47.145254611968994,0.0003079187299590558,9,4000.0,1000.0
9.0,0.0,9.061167656909674e-05,-42.73776304721832,0.00033426444861106575,10,4000.0,1000.0
10.0,0.0,6.212540029082447e-05,-48.99834680557251,0.00012031171354465187,11,4000.0,1000.0
11.0,0.0,5.507375317392871e-05,-45.652480483055115,0.00021313142497092485,12,4000.0,1000.0
12.0,0.0,4.7880388592602685e-05,-49.484318017959595,0.00011196386913070455,13,4000.0,1000.0
13.0,0.0,2.6732592232292518e-05,-53.24977207183838,8.041723776841536e-05,14,4000.0,1000.0
14.0,0.0,1.429045369150117e-05,-54.2446494102478,7.724910392425954e-05,15,4000.0,1000.0
15.0,0.0,1.311198138864711e-05,-53.94379639625549,0.00016857465379871428,16,4000.0,1000.0
16.0,0.0,8.497393537254538e-06,-55.95255708694458,0.00013265559391584247,17,4000.0,1000.0
17.0,0.0,8.497393537254538e-06,-53.59365677833557,0.00015356644871644676,18,4000.0,1000.0
18.0,0.0,7.532160907430807e-06,-59.297191858291626,9.5089701062534e-05,19,4000.0,1000.0
19.0,0.0,7.229772563732695e-06,-55.286266565322876,0.00015199361951090395,20,4000.0,1000.0
20.0,0.0,6.948617283342173e-06,-55.5052444934845,6.0759339248761535e-05,21,4000.0,1000.0
21.0,0.0,6.186029622767819e-06,-59.492488861083984,3.300731259514578e-05,22,4000.0,1000.0
22.0,0.0,3.5652631140692392e-06,-60.46653389930725,2.9351529519772157e-05,23,4000.0,1000.0
23.0,0.0,3.0654437068733387e-06,-62.06931519508362,6.228721758816391e-05,24,4000.0,1000.0
24.0,0.0,2.7799019335361663e-06,-63.59249925613403,1.4753466530237347e-05,25,4000.0,1000.0
25.0,0.0,1.9865649392158957e-06,-60.1968777179718,4.1273506212746724e-05,26,4000.0,1000.0
26.0,0.0,1.4946394912840333e-06,-60.50909900665283,8.44942496769363e-06,27,4000.0,1000.0
27.0,0.0,1.4919588693373953e-06,-65.77376890182495,6.325442427623784e-06,28,4000.0,1000.0
28.0,0.0,1.3945242471891106e-06,-62.10572361946106,2.4047876650001854e-05,29,4000.0,1000.0
29.0,0.0,1.0074595593323465e-06,-66.39999723434448,6.192178716446506e-06,30,4000.0,1000.0
30.0,0.0,9.12415544007672e-07,-67.35929250717163,3.059766459045932e-05,31,4000.0,1000.0
31.0,0.0,6.31841999165772e-07,-65.81616234779358,1.1249866474827286e-05,32,4000.0,1000.0
32.0,0.0,5.865693992745946e-07,-63.355199575424194,2.967596083180979e-05,33,4000.0,1000.0
33.0,0.0,5.865693992745946e-07,-64.66767907142639,3.688115975819528e-05,34,4000.0,1000.0
34.0,0.0,5.865693992745946e-07,-65.0392005443573,1.0796283277159091e-05,35,4000.0,1000.0
35.0,0.0,5.420179149950854e-07,-65.85608792304993,1.2783983947883826e-05,36,4000.0,1000.0
36.0,0.0,4.95780341225327e-07,-67.47123384475708,3.5987936826131772e-06,37,4000.0,1000.0
37.0,0.0,4.4559726575243985e-07,-68.38456869125366,9.250491530110594e-06,38,4000.0,1000.0
38.0,0.0,4.4559726575243985e-07,-66.04698181152344,8.488573257636745e-06,39,4000.0,1000.0
39.0,0.0,4.4559726575243985e-07,-65.9807288646698,3.271862806286663e-05,40,4000.0,1000.0
40.0,0.0,4.4559726575243985e-07,-65.32366728782654,3.522300539771095e-05,41,4000.0,1000.0
41.0,0.0,4.331500633725227e-07,-66.20257186889648,8.190232620108873e-06,42,4000.0,1000.0
42.0,0.0,3.589758250654995e-07,-68.49250221252441,1.665852323640138e-06,43,4000.0,1000.0
43.0,0.0,3.5301843581692083e-07,-67.65046834945679,4.552913651423296e-06,44,4000.0,1000.0
44.0,0.0,3.324367128243466e-07,-67.54494857788086,2.6241101295454428e-05,45,4000.0,1000.0
45.0,0.0,2.9894647468609037e-07,-67.14013767242432,1.2190690540592186e-05,46,4000.0,1000.0
46.0,0.0,2.8377735361573286e-07,-68.2191801071167,1.5592318959534168e-05,47,4000.0,1000.0
47.0,0.0,2.5030715278262505e-07,-65.37585115432739,4.52650201623328e-05,48,4000.0,1000.0
48.0,0.0,2.5030715278262505e-07,-66.39743995666504,8.750429515202995e-06,49,4000.0,1000.0
49.0,0.0,2.489390453774831e-07,-67.5699610710144,2.7336343464412494e-06,50,4000.0,1000.0
50.0,0.0,2.1691177209959278e-07,-68.82743978500366,1.0385533641965594e-06,51,4000.0,1000.0
51.0,0.0,2.1691177209959278e-07,-67.81854724884033,3.2326825021300465e-05,52,4000.0,1000.0
52.0,0.0,2.1691177209959278e-07,-67.59346055984497,1.8855447706300765e-05,53,4000.0,1000.0
53.0,0.0,2.1691177209959278e-07,-67.9912896156311,1.4732595445821062e-05,54,4000.0,1000.0
